"SNP_rm_GWAS1_Nmiss","SNP_rm_GWAS2_Nmiss","SNP_RP_GWAS1_TOTAL","SNP_RP_GWAS1_PERC","SNP_RP_GWAS2_TOTAL","SNP_RP_GWAS2_PERC","h2_1","h2_1_se","h2_2","h2_2_se","gcov","gcov_se","rg","se","p","output_file","output_file_path","id_1","label_1","id_2","label_2"
0,0,1029738,1029876,1027179,1029876,0.008,9e-04,0.0342,0.0025,-8e-04,8e-04,-0.049,0.0473,0.3,"GCST90435919_headache-disorder-1_GCST90013410_bcc-1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90435919_headache-disorder-1_GCST90013410_bcc-1.Rout","GCST90435919","headache-disorder-1","GCST90013410","bcc-1"
0,0,1029867,1029876,1029099,1029876,0.0145,0.0012,0.2428,0.0087,0.0125,0.0021,0.211,0.0349,1.41e-09,"GCST90042860_crc-benign-neoplasm_GCST90275158_schizophrenia-M1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042860_crc-benign-neoplasm_GCST90275158_schizophrenia-M1.Rout","GCST90042860","crc-benign-neoplasm","GCST90275158","schizophrenia-M1"
0,0,1008231,1029876,1029738,1029876,0.0473,0.0087,0.0079,0.0011,3e-04,0.002,0.0144,0.1039,0.89,"GCST002245_alzheimers-late-onset-4_GCST90435667_uterine-leiomyoma.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST002245_alzheimers-late-onset-4_GCST90435667_uterine-leiomyoma.Rout","GCST002245","alzheimers-late-onset-4","GCST90435667","uterine-leiomyoma"
0,0,1029867,1029876,1029738,1029876,0.0095,0.001,0.0102,9e-04,5e-04,6e-04,0.0557,0.0659,0.398,"GCST90042682_depression-family-mother_GCST90435666_uterine-benign-neoplasm.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042682_depression-family-mother_GCST90435666_uterine-benign-neoplasm.Rout","GCST90042682","depression-family-mother","GCST90435666","uterine-benign-neoplasm"
0,0,1029099,1029876,1029867,1029876,0.2628,0.0079,0.0073,0.001,0.0125,0.002,0.2855,0.0502,1.3e-08,"GCST90275152_autism-1_GCST90042669_depression-family-father.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90275152_autism-1_GCST90042669_depression-family-father.Rout","GCST90275152","autism-1","GCST90042669","depression-family-father"
336,0,836400,1029876,1029738,1029876,0.1216,0.0106,0.0043,0.0012,0.0011,0.0022,0.0484,0.1003,0.629,"GCST90271613_partial-epilepsy-1_GCST90435631_lymph-node-malignant-neoplasm.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90271613_partial-epilepsy-1_GCST90435631_lymph-node-malignant-neoplasm.Rout","GCST90271613","partial-epilepsy-1","GCST90435631","lymph-node-malignant-neoplasm"
0,0,1025331,1029876,1029867,1029876,0.0173,0.0023,0.0063,0.0017,0.001,0.0014,0.1,0.1282,0.435,"GCST009315_PTSD-PGC-2019_GCST90044453_uterine-polyp-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST009315_PTSD-PGC-2019_GCST90044453_uterine-polyp-2.Rout","GCST009315","PTSD-PGC-2019","GCST90044453","uterine-polyp-2"
0,0,1029738,1029876,1029738,1029876,0.0193,0.001,0.0071,8e-04,5e-04,7e-04,0.0406,0.0606,0.503,"GCST90435945_peripheral-cns-disorder_GCST90435663_skin-benign-neoplasm.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90435945_peripheral-cns-disorder_GCST90435663_skin-benign-neoplasm.Rout","GCST90435945","peripheral-cns-disorder","GCST90435663","skin-benign-neoplasm"
0,0,1029767,1029876,1029738,1029876,0.0475,0.015,0.0201,0.002,-9e-04,0.0013,-0.0302,0.0435,0.487,"GCST007511_alzheimers-late-onset-1_GCST90435594_skin-cancer.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST007511_alzheimers-late-onset-1_GCST90435594_skin-cancer.Rout","GCST007511","alzheimers-late-onset-1","GCST90435594","skin-cancer"
0,0,1006053,1029876,1015421,1029876,0.1012,0.003,0.3627,0.0423,0.0089,0.0069,0.0464,0.037,0.211,"PGC-ADHD-2022_ADHD-PGC-2022_GCST003566_multiple-sclerosis-1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/PGC-ADHD-2022_ADHD-PGC-2022_GCST003566_multiple-sclerosis-1.Rout","PGC-ADHD-2022","ADHD-PGC-2022","GCST003566","multiple-sclerosis-1"
