id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST003769,depression-symptoms,GCST90043894,prostate-cancer-1,-0.0065,0.07,-0.0922,0.9265,0.0255,0.0037,1.0467,0.0156,0.005,0.0052
GCST003566,multiple-sclerosis-1,GCST90011808,prostate-cancer-3,-0.0152,0.077,-0.1981,0.843,0.0328,0.005,1.0579,0.022,0.0016,0.0057
PGC-BIP-2021,BIP-PGC-2021,GCST90255676,crc-cancer-2,-0.0318,0.0349,-0.9118,0.3619,0.0814,0.0102,1.173,0.0252,0.0425,0.0074
PGC-BIP-2021,BIP-PGC-2021,GCST90041886,breast-carcinoma-2,0.0454,0.0602,0.7543,0.4507,0.0073,0.0015,1.0467,0.013,-0.0069,0.0069
GCST90027164,lateral-sclerosis-1,GCST004750,lung-cancer-squamous,0.1073,0.0971,1.1045,0.2694,0.0573,0.0151,1.0372,0.0094,0.0016,0.0052
GCST90011816,cervical-cancer-2,GCST90246357,cervical-dysplasia,-0.0591,0.2332,-0.2534,0.8,0.0041,0.0028,1.0022,0.0067,0.0088,0.0045
GCST006464,endometrial-carcinoma-2,GCST90042670,prostate-cancer-father,-0.1858,0.1481,-1.255,0.2095,0.0065,0.0013,1.0205,0.008,0.0013,0.0054
PGC-ADHD-2022,ADHD-PGC-2022,GCST90137411,bcc-2,-0.0043,0.0292,-0.1461,0.8839,0.0682,0.0142,0.9801,0.0285,-0.0068,0.0069
GCST90042843,anxiety-treatment-1,GCST90129450,migraine-disorder-1,0.2051,0.0632,3.2449,0.0012,0.0346,0.0031,1.0567,0.0097,0.0249,0.0048
GCST90435863,anxiety-3,GCST006464,endometrial-carcinoma-2,0.0332,0.1252,0.2652,0.7909,0.0251,0.0046,1.0665,0.0076,0.0051,0.0055
GCST90042685,intestinal-cancer-mother,GCST003566,multiple-sclerosis-1,0.1874,0.1521,1.232,0.2179,0.3029,0.1115,1.065,0.0168,-0.0046,0.0055
GCST009980,mdd-trauma,GCST90128471-females,SCZ-PGC-2022-females,0.1687,0.071,2.3771,0.0175,0.2845,0.0197,1.0843,0.0126,0.0083,0.0056
GCST003740,adenocarcinoma-barret-oesophagus,GCST90128471-all,SCZ-PGC-2022-all,0.0791,0.0421,1.8774,0.0605,0.3442,0.0163,1.1596,0.0199,0.0542,0.0073
GCST90275149,ADHD-1,GCST90275151,autism-sex-M1,0.4502,0.0384,11.724,9.6061e-32,0.1499,0.0116,1.0317,0.008,0.4788,0.0065
GCST90011816,cervical-cancer-2,GCST010010,mdd-lifetime-recurrent,0.242,0.1208,2.0036,0.0451,0.0659,0.0092,1.0225,0.0077,-0.0038,0.0056
GCST90275158,schizophrenia-M1,GCST90435666,uterine-benign-neoplasm,0.1242,0.0906,1.3704,0.1706,0.0109,0.0023,1.0216,0.0072,-4.2822e-06,0.0053
GCST90435919,headache-disorder-1,GCST90043874,skin-carcinoma-face,0.0448,0.1047,0.4286,0.6682,0.0083,0.0014,1.0233,0.008,0.003,0.005
PGC-ADHD-2022,ADHD-PGC-2022,GCST90435601,breast-cancer-2,0.1204,0.0536,2.2464,0.0247,0.0201,0.0034,1.0466,0.012,-0.0099,0.0062
GCST90271611,epilepsy-2,GCST004744,adenocarcinoma-lung,-0.1234,0.0875,-1.4098,0.1586,0.0543,0.0113,1.0522,0.0107,0.0126,0.0071
GCST001241,BIP-PGC-2011,GCST90399736,thyroid-cancer,-0.1161,0.0751,-1.5471,0.1218,0.0034,0.001,1.0057,0.0113,0.0051,0.0062
GCST006803,SCZ-PGC-2018,GCST90044453,uterine-polyp-2,0.0047,0.0654,0.0722,0.9425,0.0054,0.0019,1.0044,0.0064,0.0007,0.0061
GCST90042784,depression-postpartum,GCST90128471-females,SCZ-PGC-2022-females,-0.2545,0.1984,-1.2828,0.1996,0.2767,0.0195,1.0878,0.0118,0.0125,0.0064
GCST90129443,headache-disorder-2,GCST90428117,prostate-cancer,0.0353,0.0536,0.6586,0.5101,0.0304,0.0049,1.0504,0.0109,0.0004,0.0058
GCST009315,PTSD-PGC-2019,GCST90275158,schizophrenia-M1,1.0026,0.1202,8.3422,7.2897e-17,0.1242,0.0131,1.0402,0.0091,0.0257,0.0055
GCST001198,multiple-sclerosis-2,GCST009158,uterine-fibroid-1,-0.2381,0.1212,-1.965,0.0494,0.0187,0.0033,0.9907,0.01,0.0048,0.006
GCST007511,alzheimers-late-onset-1,GCST001241,BIP-PGC-2011,0.0591,0.0853,0.6927,0.4885,0.3619,0.0424,1.046,0.0113,0.0094,0.0071
GCST90042844,anxiety-treatment-2,GCST90435945,peripheral-cns-disorder,-0.12,0.0739,-1.6241,0.1044,0.0167,0.0016,1.0235,0.0081,-0.001,0.0046
GCST90027164,lateral-sclerosis-1,GCST004748,lung-carcinoma-1,0.0975,0.0667,1.461,0.144,0.0826,0.0169,1.0517,0.0113,0.0043,0.0049
GCST90246358,cervical-cancer-1,GCST90255675,crc-cancer-1,-0.0742,0.0511,-1.4525,0.1464,0.0895,0.0086,1.1663,0.0206,0.0102,0.0044
GCST90042699,intestinal-cancer-sibling,GCST90042670,prostate-cancer-father,0.3694,0.234,1.5786,0.1144,0.0065,0.0013,1.0204,0.008,-0.0005,0.0048
