type,selection,title,pubmedId,efoTraits,disease,disease_subtype,label,condition_label,summaryStatistics,id,filename,Ancestry,ref_genome,snp,a1,a2,frq,FRQ_U,FRQ_A,z,b,OR,se,p,N_col,N_num,Nca_col,Nca_val,Nco_col,Nco_val,INFO,ignore
PSY,main,Common genetic risk variants identified in the SPARK cohort support DDHD2 as a candidate risk gene for autism.,32747698,autism spectrum disorder,autism,,autism-2,ASD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST010001-GCST011000/GCST010514/ASD_SPARK_EUR_iPSYCH_PGC.tsv,GCST010514,GCST010514.tsv, European,,rsID,Allele1,Allele2,None,,,,Effect,,StdErr,P-value,TotalSampleSize,55420,,22916.0,,32504.0,,MarkerName
PSY,main,"Genome-wide association study of more than 40,000 bipolar disorder cases provides new insights into the underlying biology",34002096,bipolar disorder,bipolar disorder,,BIP-PGC-2021,BIP,https://figshare.com/ndownloader/files/40036705,PGC-BIP-2021,PGC-BIP-2021.gz,European,,SNP,A1,A2,,FRQ_U_313436,FRQ_A_40463,,,OR,SE,P,,413466,Nca,41917.0,Nco,371549.0,INFO,
PSY,minor,Large-scale genome-wide association analysis of bipolar disorder identifies a new susceptibility locus near ODZ4,21926972,bipolar disorder,bipolar disorder,,BIP-PGC-2011,BIP,https://figshare.com/ndownloader/files/28169301,GCST001241,GCST001241.gz,European,,snpid,a1,a2,,,,,,or,se,pval,,16731,,7481.0,,9250.0,info,
CAN,minor,Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.,32887889,breast carcinoma,breast cancer,carcinoma,breast-carcinoma-1,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011804/GCST90011804_buildGRCh37.tsv.gz,GCST90011804,GCST90011804.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,,,,,,odds_ratio,,p_value,totN,428231,,17881.0,,410350.0,,n
CAN,main,A generalized linear mixed model association tool for biobank-scale data.,34737426,breast carcinoma,breast cancer,carcinoma,breast-carcinoma-2,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90041001-GCST90042000/GCST90041886/GCST90041886_buildGRCh37.tsv.gz,GCST90041886,GCST90041886.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,456276,,10152.0,,446124.0,,
CAN,subtype,A generalized linear mixed model association tool for biobank-scale data.,34737426,breast neoplasm,breast cancer,malignant neoplasm,breast-neoplasm-1,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90043001-GCST90044000/GCST90043889/GCST90043889_buildGRCh37.tsv.gz,GCST90043889,GCST90043889.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,456348,,6087.0,,450261.0,,
CAN,subtype,A generalized linear mixed model association tool for biobank-scale data.,34737426,breast neoplasm,breast cancer,malignant neoplasm,breast-neoplasm-2,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90041001-GCST90042000/GCST90041833/GCST90041833_buildGRCh37.tsv.gz,GCST90041833,GCST90041833.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,456348,,10971.0,,445377.0,,
CAN,subtype-family,A generalized linear mixed model association tool for biobank-scale data.,34737426,family history of breast cancer,breast cancer,family history,breast-cancer-family-mother,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042686/GCST90042686_buildGRCh37.tsv.gz,GCST90042686,GCST90042686.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,417532,,34581.0,,382951.0,,
CAN,subtype-family,A generalized linear mixed model association tool for biobank-scale data.,34737426,family history of breast cancer,breast cancer,family history,breast-cancer-family-siblings,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042700/GCST90042700_buildGRCh37.tsv.gz,GCST90042700,GCST90042700.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,356573,,16344.0,,340229.0,,
CAN,minor,Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.,30104761,breast cancer,breast cancer,,breast-cancer-1,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435600/GCST90435600.tsv.gz,GCST90435600,GCST90435600.tsv.gz,European,,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,401447,n_cases,12898.0,n_controls,388549.0,,
CAN,minor,Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.,30104761,breast cancer,breast cancer,,breast-cancer-2,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435601/GCST90435601.tsv.gz,GCST90435601,GCST90435601.tsv.gz,European,,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,401220,n_cases,12671.0,n_controls,388549.0,,
CAN,minor,Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.,30104761,breast cancer,breast cancer,,breast-cancer-3,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435602/GCST90435602.tsv.gz,GCST90435602,GCST90435602.tsv.gz,European,,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,400423,n_cases,11874.0,n_controls,388549.0,,
CAN,minor,New role of fat-free mass in cancer risk linked with genetic predisposition.,38538606,breast cancer,breast cancer,,breast-cancer-4,BRCA,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90428001-GCST90429000/GCST90428116/GCST90428116.tsv.gz,GCST90428116,GCST90428116.tsv.gz,European,,rs_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,n,175905,,9780.0,,166125.0,,variant_id
CAN,main,Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.,32887889,cervical carcinoma,cervical cancer,,cervical-cancer-2,CC,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011816/GCST90011816_buildGRCh37.tsv.gz,GCST90011816,GCST90011816.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,,,,,,odds_ratio,,p_value,totN,416913,,6563.0,,410350.0,,n
CAN,minor,GWAS meta-analyses clarify genetics of cervical phenotypes and inform risk stratification for cervical cancer.,36929174,cervical cancer,cervical cancer,,cervical-cancer-1,CC,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90246001-GCST90247000/GCST90246358/GCST90246358_buildGRCh37.tsv,GCST90246358,GCST90246358.tsv, European,GRCh37,variant_id,effect_allele,other_allele,,,,,,,,p_value,,409197,,8624.0,,400573.0,,
CAN,main,GWAS meta-analyses clarify genetics of cervical phenotypes and inform risk stratification for cervical cancer.,36929174,dysplasia of cervix,cervical dysplasia,,cervical-dysplasia,CC,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90246001-GCST90247000/GCST90246357/GCST90246357_buildGRCh37.tsv,GCST90246357,GCST90246357.tsv,European,,variant_id,effect_allele,other_allele,,,,,,,,p_value,,165257,,14694.0,,150563.0,,
CAN,subtype,A generalized linear mixed model association tool for biobank-scale data.,34737426,benign neoplasm,colorectal cancer,benign neoplasm,crc-benign-neoplasm,CRC,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042860/GCST90042860_buildGRCh37.tsv.gz,GCST90042860,GCST90042860.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,456348,,19026.0,,437322.0,,
